playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,class
giustda01,1962,1977,77,4,46,133,1654,570,1103,1,0
gladdfr01,1961,1973,1,0,3,1,566,223,394,NULL,0
glassja01,1879,1895,2040,27,825,0,12,7,3,NULL,0
glaustr01,1998,2010,1375,320,950,NULL,NULL,NULL,NULL,5,0
glavito02,1987,2008,246,1,90,682,4298,1500,2607,14,1
gleaski01,1888,1912,1944,15,823,266,2552,906,744,NULL,0
goltzda01,1972,1983,10,0,7,264,2104,646,1105,NULL,0
gomezle01,1930,1943,133,0,58,320,2290,1095,1468,11,1
gonzaju03,1989,2005,1936,434,1404,NULL,NULL,NULL,NULL,12,0
gonzalu01,1990,2008,2591,354,1439,NULL,NULL,NULL,NULL,3,0
gonzami01,1912,1932,717,13,263,NULL,NULL,NULL,NULL,NULL,0
goodedw01,1984,2000,145,8,67,410,2564,954,2293,6,0
gordojo01,1938,1950,1530,253,975,NULL,NULL,NULL,NULL,21,1
gordoto01,1988,2009,0,0,0,203,1889,977,1928,2,0
gosgeji01,1963,1974,411,30,177,NULL,NULL,NULL,NULL,NULL,0
gosligo01,1921,1938,2735,248,1609,NULL,NULL,NULL,NULL,4,1
gossari01,1972,1994,9,0,2,37,1497,732,1502,3,1
gowdyha01,1910,1930,738,21,322,NULL,NULL,NULL,NULL,1,0
gracema01,1988,2003,2445,173,1146,0,1,0,0,4,0
granted01,1905,1915,844,5,277,NULL,NULL,NULL,NULL,NULL,0
grantfr99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
